file,status,variant,rank,layers,width,microbatch,liger,optimizer_implementation,step_ms,tokens_per_second,peak_allocated_gib,parameters,initialization_ms,commit
wide-B-r0.25-mb1-native-grouped-s42.json,complete,B,0.25,12,2048,1,False,grouped,764.9448346346617,42837.075979266,6.315328598022461,365005100,563.5026879608631,20119e0d7e8741ecee012249f18e8026523fe06f
wide-B-r0.25-mb16-native-grouped-s42.json,complete,B,0.25,12,2048,16,False,grouped,491.5362484753132,66664.4630624367,12.973578929901123,365005100,637.0386369526386,0f8421bc04f5f392a31d1d377bef2cba76a60b3c
wide-B-r0.25-mb32-liger-grouped-s42.json,complete,B,0.25,12,2048,32,True,grouped,501.30525790154934,65365.36365804339,5.837153911590576,365005100,4960.9761871397495,0f8421bc04f5f392a31d1d377bef2cba76a60b3c
wide-B-r0.25-mb32-native-grouped-s42.json,complete,B,0.25,12,2048,32,False,grouped,480.7239603251219,68163.85919152958,19.471301078796387,365005100,637.4237239360809,0f8421bc04f5f392a31d1d377bef2cba76a60b3c
wide-B-r0.25-mb4-native-grouped-s42.json,complete,B,0.25,12,2048,4,False,grouped,543.9852271229029,60236.92993287709,7.076075077056885,365005100,636.677872389555,0f8421bc04f5f392a31d1d377bef2cba76a60b3c
wide-B-r0.5-mb1-native-grouped-s42.json,complete,B,0.5,12,2048,1,False,grouped,1986.6765644401312,16493.877568557837,10.534139633178711,600983852,845.5774448812008,20119e0d7e8741ecee012249f18e8026523fe06f
wide-B-r0.5-mb16-native-grouped-s42.json,complete,B,0.5,12,2048,16,False,grouped,1504.7124810516834,21776.918538270078,15.634284496307373,600983852,914.2844378948212,0f8421bc04f5f392a31d1d377bef2cba76a60b3c
wide-B-r0.5-mb32-liger-grouped-s42.json,complete,B,0.5,12,2048,32,True,grouped,1506.8226344883442,21746.421429720634,9.599971294403076,600983852,5177.170719951391,0f8421bc04f5f392a31d1d377bef2cba76a60b3c
wide-B-r0.5-mb32-native-grouped-s42.json,complete,B,0.5,12,2048,32,False,grouped,1485.669607296586,22056.04827155941,21.241198539733887,600983852,910.9824076294899,0f8421bc04f5f392a31d1d377bef2cba76a60b3c
wide-B-r0.5-mb4-native-grouped-s42.json,complete,B,0.5,12,2048,4,False,grouped,1601.5351545065641,20460.36926229755,10.532175064086914,600983852,911.6493165493011,0f8421bc04f5f392a31d1d377bef2cba76a60b3c
wide-dense-r0.5-mb1-native-grouped-s42.json,complete,dense,0.5,12,2048,1,False,grouped,1429.3757230043411,22924.693258776,11.59550666809082,822659072,188.81643190979958,20119e0d7e8741ecee012249f18e8026523fe06f
wide-dense-r0.5-mb1-native-reference-s42.json,complete,dense,0.5,12,2048,1,False,reference,1467.0267440378666,22336.33444869671,11.655085563659668,822659072,113.97968605160713,20119e0d7e8741ecee012249f18e8026523fe06f
wide-dense-r0.5-mb16-native-grouped-s42.json,complete,dense,0.5,12,2048,16,False,grouped,1201.0917849838734,27281.845159735985,18.086276531219482,822659072,139.29225131869316,0f8421bc04f5f392a31d1d377bef2cba76a60b3c
wide-dense-r0.5-mb16-native-reference-s42.json,complete,dense,0.5,12,2048,16,False,reference,1227.188704535365,26701.680063151085,18.088229656219482,822659072,137.10135221481323,0f8421bc04f5f392a31d1d377bef2cba76a60b3c
wide-dense-r0.5-mb32-liger-grouped-s42.json,complete,dense,0.5,12,2048,32,True,grouped,1203.8134932518005,27220.1655825496,9.266208171844482,822659072,4433.060273528099,0f8421bc04f5f392a31d1d377bef2cba76a60b3c
wide-dense-r0.5-mb32-liger-reference-s42.json,complete,dense,0.5,12,2048,32,True,reference,1228.5728231072426,26671.600489213008,9.32676362991333,822659072,4489.242564886808,0f8421bc04f5f392a31d1d377bef2cba76a60b3c
wide-dense-r0.5-mb32-native-grouped-s42.json,complete,dense,0.5,12,2048,32,False,grouped,1191.7053703218699,27496.72942201537,22.881068229675293,822659072,137.7597264945507,0f8421bc04f5f392a31d1d377bef2cba76a60b3c
wide-dense-r0.5-mb32-native-reference-s42.json,complete,dense,0.5,12,2048,32,False,reference,1218.7765687704086,26885.979970882327,22.882044792175293,822659072,133.15529748797417,0f8421bc04f5f392a31d1d377bef2cba76a60b3c
wide-dense-r0.5-mb4-native-grouped-s42.json,complete,dense,0.5,12,2048,4,False,grouped,1212.361667305231,27028.238262048042,12.188772678375244,822659072,106.86272755265236,20119e0d7e8741ecee012249f18e8026523fe06f
wide-dense-r0.5-mb4-native-reference-s42.json,complete,dense,0.5,12,2048,4,False,reference,1249.4093384593725,26226.792926691844,12.191214084625244,822659072,128.75232473015785,20119e0d7e8741ecee012249f18e8026523fe06f
